Rating Agency,Corporation,Rating,Rating Date,CIK,Binary Rating,SIC Code,Sector,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Operating Cash Flow Per Share,Free Cash Flow Per Share
Egan-Jones Ratings Company,DAVITA INC.,BB,25-11-2013,927066,0,8090,Hlth,DVA,1.4318,0.6801,2.1853,31.7938,15.8446,15.8446,20.0456,12.2315,6.5477,0.5112,16.3766,-8.954,4.0055,5.2392,-0.494,-1.6003
Egan-Jones Ratings Company,"DELTA AIR LINES, INC",BBB-,01-11-2013,27904,1,4512,Other,DAL,0.6234,1.2381,-5.9639,20.1091,5.9313,5.9313,10.7254,2.7952,2.7516,0.8231,-47.3487,-6.0768,2.2649,11.2725,-0.4449,-1.2744
Egan-Jones Ratings Company,DELUXE CORPORATION,BBB-,30-08-2013,27996,1,2780,NoDur,DLX,0.6411,0.6843,2.4504,65.1945,19.121,19.121,25.4699,15.243,10.142,1.0207,47.7702,-22.8917,10.4114,15.0805,0.4353,0.6006
Egan-Jones Ratings Company,DELUXE CORPORATION,BBB,05-11-2013,27996,1,2780,NoDur,DLX,0.6411,0.6843,2.4504,65.1945,19.121,19.121,25.4699,15.243,10.142,1.0207,47.7702,-22.8917,10.4114,15.0805,0.4353,0.6006
Egan-Jones Ratings Company,DELUXE CORPORATION,BBB,20-11-2013,27996,1,2780,NoDur,DLX,0.6411,0.6843,2.4504,65.1945,19.121,19.121,25.4699,15.243,10.142,1.0207,47.7702,-22.8917,10.4114,15.0805,0.4353,0.6006
Egan-Jones Ratings Company,DEVON ENERGY CORPORATION,A-,19-06-2013,1090012,1,1311,Enrgy,DVN,1.4944,0.2844,0.5472,100,0.7789,0.7789,30.3652,-3.3365,-2.1682,0.2193,-0.8694,-1.2172,-0.427,-0.6222,-2.5,-1.6771
Egan-Jones Ratings Company,DEVON ENERGY CORPORATION,A-,27-09-2013,1090012,1,1311,Enrgy,DVN,1.4944,0.2844,0.5472,100,0.7789,0.7789,30.3652,-3.3365,-2.1682,0.2193,-0.8694,-1.2172,-0.427,-0.6222,-2.5,-1.6771
Egan-Jones Ratings Company,DEVON ENERGY CORPORATION,A-,02-12-2013,1090012,1,1311,Enrgy,DVN,1.4944,0.2844,0.5472,100,0.7789,0.7789,30.3652,-3.3365,-2.1682,0.2193,-0.8694,-1.2172,-0.427,-0.6222,-2.5,-1.6771
Egan-Jones Ratings Company,DEVON ENERGY CORPORATION,A-,06-12-2013,1090012,1,1311,Enrgy,DVN,1.4944,0.2844,0.5472,100,0.7789,0.7789,30.3652,-3.3365,-2.1682,0.2193,-0.8694,-1.2172,-0.427,-0.6222,-2.5,-1.6771
Egan-Jones Ratings Company,DIAGEO PLC,BBB+,25-09-2013,835403,1,2085,NoDur,DEO,1.5501,0.5178,1.3181,60.9027,30.0096,30.0096,33.5345,27.3157,21.7353,0.4559,31.997,-275.6641,10.3441,15.4285,-0.1806,-0.565
Egan-Jones Ratings Company,DOVER CORPORATION,A+,22-07-2013,29905,1,3585,Manuf,DOV,1.5241,0.308,0.5692,38.9335,15.9814,15.9814,19.4512,14.0503,12.2395,0.6345,13.215,-79.1964,6.2244,9.1449,0.2397,0.8352
Egan-Jones Ratings Company,DTE ENERGY COMPANY,A-,30-08-2013,936340,1,4931,Utils,DTE,1.0531,0.4862,1.0891,62.5071,14.549,14.549,26.4589,10.9203,6.9389,0.3338,9.0946,12.8186,2.5589,4.6724,1.0312,-0.7056
Egan-Jones Ratings Company,DTE ENERGY COMPANY,A+,05-11-2013,936340,1,4931,Utils,DTE,1.0531,0.4862,1.0891,62.5071,14.549,14.549,26.4589,10.9203,6.9389,0.3338,9.0946,12.8186,2.5589,4.6724,1.0312,-0.7056
Standard & Poor's Ratings Services,DTE Energy Center LLC,A-,03-07-2013,936340,1,4931,Utils,DTE,1.0531,0.4862,1.0891,62.5071,14.549,14.549,26.4589,10.9203,6.9389,0.3338,9.0946,12.8186,2.5589,4.6724,1.0312,-0.7056
Standard & Poor's Ratings Services,DTE Energy Center LLC,A-,25-07-2013,936340,1,4931,Utils,DTE,1.0531,0.4862,1.0891,62.5071,14.549,14.549,26.4589,10.9203,6.9389,0.3338,9.0946,12.8186,2.5589,4.6724,1.0312,-0.7056
Moody's Investors Service,"DTE Energy Center, LLC",BB+,05-03-2013,936340,0,4931,Utils,DTE,1.0531,0.4862,1.0891,62.5071,14.549,14.549,26.4589,10.9203,6.9389,0.3338,9.0946,12.8186,2.5589,4.6724,1.0312,-0.7056
Standard & Poor's Ratings Services,DTE Energy Co.,BBB,19-08-2013,936340,1,4931,Utils,DTE,1.0531,0.4862,1.0891,62.5071,14.549,14.549,26.4589,10.9203,6.9389,0.3338,9.0946,12.8186,2.5589,4.6724,1.0312,-0.7056
Moody's Investors Service,DTE Energy Company,BBB+,08-02-2013,936340,1,4931,Utils,DTE,1.0531,0.4862,1.0891,62.5071,14.549,14.549,26.4589,10.9203,6.9389,0.3338,9.0946,12.8186,2.5589,4.6724,1.0312,-0.7056
Moody's Investors Service,DTE Energy Company,BBB+,19-11-2013,936340,1,4931,Utils,DTE,1.0531,0.4862,1.0891,62.5071,14.549,14.549,26.4589,10.9203,6.9389,0.3338,9.0946,12.8186,2.5589,4.6724,1.0312,-0.7056
Egan-Jones Ratings Company,DUKE ENERGY CORPORATION,A,10-06-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Egan-Jones Ratings Company,DUKE ENERGY CORPORATION,A,27-09-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Egan-Jones Ratings Company,DUKE ENERGY CORPORATION,AA-,02-12-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Standard & Poor's Ratings Services,Dana Incorporated,BB,22-02-2013,26780,0,3714,Durbl,DAN,2.2542,0.2919,0.4641,13.4828,5.9385,5.9385,9.8422,5.0388,3.7237,1.4044,26.3598,20.6965,6.1236,11.4504,-0.1396,0.0069
Standard & Poor's Ratings Services,Dana Incorporated,BB,30-07-2013,26780,0,3714,Durbl,DAN,2.2542,0.2919,0.4641,13.4828,5.9385,5.9385,9.8422,5.0388,3.7237,1.4044,26.3598,20.6965,6.1236,11.4504,-0.1396,0.0069
Standard & Poor's Ratings Services,Darden Restaurants Inc.,BBB-,19-12-2013,940944,1,5812,Shops,DRI,0.54,0.5531,1.3174,22.0301,6.7556,6.7556,11.6754,4.6276,6.9566,0.8536,11.5222,41.098,3.4208,5.1495,0.6616,0.2
Fitch Ratings,"Darden Restaurants, Inc.",BBB-,17-10-2013,940944,1,5812,Shops,DRI,0.54,0.5531,1.3174,22.0301,6.7556,6.7556,11.6754,4.6276,6.9566,0.8536,11.5222,41.098,3.4208,5.1495,0.6616,0.2
Moody's Investors Service,"Darden Restaurants, Inc.",BBB-,21-10-2013,940944,1,5812,Shops,DRI,0.54,0.5531,1.3174,22.0301,6.7556,6.7556,11.6754,4.6276,6.9566,0.8536,11.5222,41.098,3.4208,5.1495,0.6616,0.2
Moody's Investors Service,Darling Ingredients Inc.,BB,27-09-2013,916540,0,2070,NoDur,DAR,2.2042,0.1906,0.2355,26.4492,13.0739,13.0739,17.8901,11.666,7.3775,1.1418,12.3085,38.0516,8.4236,9.9628,0.0281,-0.4089
Moody's Investors Service,Darling Ingredients Inc.,B+,10-12-2013,916540,0,2070,NoDur,DAR,2.2042,0.1906,0.2355,26.4492,13.0739,13.0739,17.8901,11.666,7.3775,1.1418,12.3085,38.0516,8.4236,9.9628,0.0281,-0.4089
Standard & Poor's Ratings Services,Delta Air Lines Inc.,BB,26-11-2013,27904,0,4512,Other,DAL,0.6234,1.2381,-5.9639,20.1091,5.9313,5.9313,10.7254,2.7952,2.7516,0.8231,-47.3487,-6.0768,2.2649,11.2725,-0.4449,-1.2744
Standard & Poor's Ratings Services,Delta Air Lines Inc.,BB+,18-12-2013,27904,0,4512,Other,DAL,0.6234,1.2381,-5.9639,20.1091,5.9313,5.9313,10.7254,2.7952,2.7516,0.8231,-47.3487,-6.0768,2.2649,11.2725,-0.4449,-1.2744
Standard & Poor's Ratings Services,Devon Energy Corp.,A,29-03-2013,1090012,1,1311,Enrgy,DVN,1.4944,0.2844,0.5472,100,0.7789,0.7789,30.3652,-3.3365,-2.1682,0.2193,-0.8694,-1.2172,-0.427,-0.6222,-2.5,-1.6771
Standard & Poor's Ratings Services,Devon Energy Corp.,BBB+,22-11-2013,1090012,1,1311,Enrgy,DVN,1.4944,0.2844,0.5472,100,0.7789,0.7789,30.3652,-3.3365,-2.1682,0.2193,-0.8694,-1.2172,-0.427,-0.6222,-2.5,-1.6771
Moody's Investors Service,Devon Energy Corporation,BBB+,11-12-2013,1090012,1,1311,Enrgy,DVN,1.4944,0.2844,0.5472,100,0.7789,0.7789,30.3652,-3.3365,-2.1682,0.2193,-0.8694,-1.2172,-0.427,-0.6222,-2.5,-1.6771
Moody's Investors Service,Diageo PLC,A-,07-05-2013,835403,1,2085,NoDur,DEO,1.5161,0.5359,1.3353,60.4256,29.344,29.344,33.163,29.0002,19.2529,0.4815,28.6743,-97.1642,8.7383,13.3075,0.2916,0.0551
Standard & Poor's Ratings Services,Diageo PLC,A,03-09-2013,835403,1,2085,NoDur,DEO,1.5501,0.5178,1.3181,60.9027,30.0096,30.0096,33.5345,27.3157,21.7353,0.4559,31.997,-275.6641,10.3441,15.4285,-0.1806,-0.565
Moody's Investors Service,"DigitalGlobe, Inc.",B+,15-01-2013,1208208,0,4899,Telcm,DGI,3.3173,0.4701,0.8966,80.636,18.0351,18.0351,50.356,15.6384,9.2549,0.2671,7.2303,7.5831,2.4723,3.831,2.5893,3.5302
Standard & Poor's Ratings Services,Douglas Dynamics LLC,BB,27-03-2013,1287213,0,3531,Manuf,PLOW,5.3738,0.4193,0.7283,31.3947,13.4747,13.4747,19.8825,7.2526,4.244,0.4138,3.9107,-8.5839,1.7767,2.271,-1.4768,-1.4332
Standard & Poor's Ratings Services,Dover Corp.,A,24-05-2013,29905,1,3585,Manuf,DOV,1.5241,0.308,0.5692,38.9335,15.9814,15.9814,19.4512,14.0503,12.2395,0.6345,13.215,-79.1964,6.2244,9.1449,0.2397,0.8352
Moody's Investors Service,Dover Corporation,A,26-11-2013,29905,1,3585,Manuf,DOV,1.5241,0.308,0.5692,38.9335,15.9814,15.9814,19.4512,14.0503,12.2395,0.6345,13.215,-79.1964,6.2244,9.1449,0.2397,0.8352
Fitch Ratings,Dover Corporation,A,03-12-2013,29905,1,3585,Manuf,DOV,1.5241,0.308,0.5692,38.9335,15.9814,15.9814,19.4512,14.0503,12.2395,0.6345,13.215,-79.1964,6.2244,9.1449,0.2397,0.8352
Moody's Investors Service,Duke Energy Corporation,BBB,09-01-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Moody's Investors Service,Duke Energy Corporation,BBB-,10-01-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Moody's Investors Service,Duke Energy Corporation,BBB,25-03-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Moody's Investors Service,Duke Energy Corporation,BBB,28-03-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Moody's Investors Service,Duke Energy Corporation,BBB,16-04-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Moody's Investors Service,Duke Energy Corporation,BBB,23-05-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Moody's Investors Service,Duke Energy Corporation,BBB,30-05-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Moody's Investors Service,Duke Energy Corporation,BBB,11-06-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Moody's Investors Service,Duke Energy Corporation,BBB+,25-09-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Moody's Investors Service,Duke Energy Corporation,BBB+,09-10-2013,1326160,1,4931,Utils,DUK,1.2446,0.4496,0.9184,64.5881,19.1135,19.1135,33.058,16.9661,11.742,0.2324,7.4918,9.1835,2.7397,4.1233,-1.982,-0.7745
Egan-Jones Ratings Company,EASTMAN CHEMICAL COMPANY,BBB,05-09-2013,915389,1,2821,Chems,EMN,2.0664,0.4319,0.8406,21.8585,13.0538,13.0538,16.8571,12.2736,8.9997,1.1607,31.9306,43.5438,9.8157,18.1411,0.4772,-1.0878
Egan-Jones Ratings Company,EASTMAN CHEMICAL COMPANY,BBB,31-10-2013,915389,1,2821,Chems,EMN,2.0664,0.4319,0.8406,21.8585,13.0538,13.0538,16.8571,12.2736,8.9997,1.1607,31.9306,43.5438,9.8157,18.1411,0.4772,-1.0878
Egan-Jones Ratings Company,EBAY INC.,A+,19-07-2013,1065088,1,7370,BusEq,EBAY,1.9588,0.1644,0.2166,70.0398,20.523,20.523,29.0506,21.9159,18.5404,0.3796,12.5042,23.2946,7.0373,10.4481,0.4296,0.2056
Egan-Jones Ratings Company,EBAY INC.,A+,17-10-2013,1065088,1,7370,BusEq,EBAY,1.9588,0.1644,0.2166,70.0398,20.523,20.523,29.0506,21.9159,18.5404,0.3796,12.5042,23.2946,7.0373,10.4481,0.4296,0.2056
Egan-Jones Ratings Company,ECOLAB INC.,BBB,01-08-2013,31462,1,2842,Chems,ECL,1.7042,0.5353,1.3301,48.877,11.0877,11.0877,16.9081,9.9963,6.803,0.3739,8.0699,-10.555,2.5477,3.7501,-1.1685,-1.4259
Egan-Jones Ratings Company,EDISON INTERNATIONAL,A-,25-09-2013,827052,1,4911,Utils,EIX,0.7137,0.452,0.8405,65.1071,19.2632,19.2632,33.0383,15.6888,-1.5427,0.2672,16.8999,14.2436,3.5906,7.8053,-1.7693,-1.4677
Egan-Jones Ratings Company,EDISON INTERNATIONAL,BBB-,02-12-2013,827052,1,4911,Utils,EIX,0.7137,0.452,0.8405,65.1071,19.2632,19.2632,33.0383,15.6888,-1.5427,0.2672,16.8999,14.2436,3.5906,7.8053,-1.7693,-1.4677
Egan-Jones Ratings Company,EDISON MISSION ENERGY,D,09-07-2013,930835,0,4911,Utils,EME,1.5793,0.102,0.1149,12.9768,4.2015,4.2015,5.1855,4.1092,2.366,1.994,11.5453,35.066,5.043,10.368,0.5371,0.4353
Egan-Jones Ratings Company,ELI LILLY AND COMPANY,AA-,05-08-2013,59478,1,2834,Hlth,LLY,1.5954,0.2876,0.5162,79.1329,22.7637,22.7637,28.4195,22.0266,17.9017,0.7215,32.1205,51.7122,12.9166,22.8823,0.2937,0.3187
Egan-Jones Ratings Company,ELI LILLY AND COMPANY,AA-,06-11-2013,59478,1,2834,Hlth,LLY,1.5954,0.2876,0.5162,79.1329,22.7637,22.7637,28.4195,22.0266,17.9017,0.7215,32.1205,51.7122,12.9166,22.8823,0.2937,0.3187
Egan-Jones Ratings Company,EMERSON ELECTRIC CO.,A+,29-08-2013,32604,1,3823,BusEq,EMR,1.4196,0.2661,0.5069,40.0131,15.3203,15.3203,20.8545,12.7601,8.0616,1.0249,19.3833,350.173,8.4978,14.2245,-0.1346,-0.1813
Egan-Jones Ratings Company,EMERSON ELECTRIC CO.,A+,23-12-2013,32604,1,3823,BusEq,EMR,1.4425,0.2745,0.5264,40.3421,15.3067,15.3067,20.6372,12.9555,8.1236,0.9983,19.276,134.4177,8.3606,13.985,0.8917,0.8591
Egan-Jones Ratings Company,ENERGIZER HOLDINGS INC,BBB,11-09-2013,1632790,1,3690,BusEq,ENR,1.9293,0.5082,1.2237,46.8099,15.0552,15.0552,18.6066,12.3796,8.953,0.6785,19.7584,-32.6155,6.0747,9.717,3.7457,3.6359
Egan-Jones Ratings Company,ENERGIZER HOLDINGS INC,BBB+,12-12-2013,1632790,1,3690,BusEq,ENR,2.2268,0.4489,0.912,44.8216,11.5893,11.5893,14.3674,8.0509,5.7102,0.2996,4.6829,-13.3963,1.7105,2.5806,-4.3144,-3.1888
Egan-Jones Ratings Company,ENTERGY CORPORATION,BBB+,06-09-2013,65984,1,4911,Utils,ETR,0.8969,0.5627,1.4501,68.0391,12.6303,12.6303,29.8273,8.7285,8.2185,0.2385,9.4417,9.7417,2.01,4.0872,-0.9983,-3.5546
Egan-Jones Ratings Company,ENTERGY CORPORATION,BBB,18-12-2013,65984,1,4911,Utils,ETR,0.8969,0.5627,1.4501,68.0391,12.6303,12.6303,29.8273,8.7285,8.2185,0.2385,9.4417,9.7417,2.01,4.0872,-0.9983,-3.5546
Egan-Jones Ratings Company,ENTERPRISE PRODUCTS PARTNERS,BBB+,22-03-2013,1061219,1,1311,Enrgy,EPD,0.7534,0.5243,1.2185,7.5504,7.3015,7.3015,9.8962,5.6614,5.6828,1.185,18.2611,25.1805,6.7568,8.6866,-0.3183,-0.097
Egan-Jones Ratings Company,ENTERPRISE PRODUCTS PARTNERS,BBB+,24-09-2013,1061219,1,1311,Enrgy,EPD,0.7534,0.5243,1.2185,7.5504,7.3015,7.3015,9.8962,5.6614,5.6828,1.185,18.2611,25.1805,6.7568,8.6866,-0.3183,-0.097
Egan-Jones Ratings Company,ENTERPRISE PRODUCTS PARTNERS,A-,26-11-2013,1061219,1,1311,Enrgy,EPD,0.7534,0.5243,1.2185,7.5504,7.3015,7.3015,9.8962,5.6614,5.6828,1.185,18.2611,25.1805,6.7568,8.6866,-0.3183,-0.097
Egan-Jones Ratings Company,ENTERPRISE PRODUCTS PARTNERS,A-,02-12-2013,1061219,1,1311,Enrgy,EPD,0.7534,0.5243,1.2185,7.5504,7.3015,7.3015,9.8962,5.6614,5.6828,1.185,18.2611,25.1805,6.7568,8.6866,-0.3183,-0.097
